date,planned_cost,delta_only_emergency_cost,final_soc_kwh,zero_score,selected_score,accepted_search,evaluations
2025-01-02,59270.04166786588,7541.981892470409,1365.1683916666666,-495.06666666664296,-495.06666666664296,False,1
2025-01-03,62038.21208325918,0.0,8221.137613148147,-495.06666666664245,-495.06666666664245,False,1
2025-01-04,23012.766066457327,3385.2537572002334,1200.0,-495.0666666666458,-495.0666666666458,False,1
2025-01-05,26317.293778258405,204335.0270327641,1200.0,-495.06666666664063,-495.06666666664063,False,1
2025-01-06,61465.79429434093,4537.205933359763,1315.5818699999998,-495.06666666663574,-495.06666666663574,False,1
2025-01-07,60808.767906739115,11208.928914430488,1440.0953444444444,-495.0666666666419,-495.0666666666419,False,1
2025-01-08,61279.4486727881,2067.224450309956,1576.1936270370377,-495.0666666666425,-495.0666666666425,False,1
2025-01-09,62495.997134464706,567.5267900962058,1722.2375750000008,-732.1784177616879,-732.1784177616879,False,1
2025-01-10,26933.133688156897,1359.8417161435761,1590.5185841851844,-459.2131137793567,-459.2131137793567,False,1
2025-01-11,27518.001892512828,489.69271279784175,1736.8726350105806,-432.3450413853827,-432.3450413853827,False,1
2025-01-12,63052.595570442936,477.60546741404755,1773.3279790740742,-336.2041734379851,-336.2041734379851,False,1
2025-01-13,62477.6929752456,747.6162592538019,1323.2202213333355,-262.1249480027261,-262.1249480027261,False,1
2025-01-14,62349.14750364229,1089.307921247726,1315.3695909259268,-333.3688756035681,-333.3688756035681,False,1
2025-01-15,61839.1430162211,3375.379664376955,1496.7703191111113,-316.08717458456005,-316.08717458456005,False,1
2025-01-16,62254.5179034265,2755.547521970915,1691.684040592592,-136.19931184680217,-136.19931184680217,False,1
2025-01-17,26958.725018913894,195.16224032596654,1764.8447698095267,-308.9326453802042,-308.9326453802042,False,1
2025-01-18,26705.00541268377,848.5037966395209,1964.274098582012,-326.8348147655123,-326.8348147655123,False,1
2025-01-19,60962.64709725948,1859.5709964548566,1803.810613333331,-87.09338767376018,-87.09338767376018,False,1
2025-01-20,61436.02174385104,2575.4488354940563,2262.9130648888927,-127.01490829876154,-127.01490829876154,False,1
2025-01-21,61324.05658281678,285.19751979166693,2374.6088520740736,-85.2485468076312,-85.2485468076312,False,1
2025-01-22,60772.76488681248,832.9628592884205,1765.4376082592605,7.870143137854265,7.870143137854265,False,1
2025-01-23,60874.96862593519,3211.9003847300887,2005.5583812222244,-88.28448289158217,-88.28448289158217,False,1
2025-01-24,25674.291222344487,596.175299526183,2162.8117885185184,-255.76976622635087,-255.76976622635087,False,1
2025-01-25,25624.862708482324,167.3836982040328,2088.5298238518535,-255.99894731404814,-255.99894731404814,False,1
2025-01-26,59695.77841497393,681.425645370566,2008.7756538253986,37.659366939680474,37.659366939680474,False,1
2025-01-27,59841.56182164705,402.3771343252339,1692.0555604285719,4.521389529072143,4.521389529072143,False,1
2025-01-28,58852.75780597686,1728.3608191899673,1653.0551659999999,-101.75319867280163,-101.75319867280163,False,1
2025-01-29,60116.83713592238,0.0,2381.5342536507924,-206.0266629725645,-677.5687374379982,True,181
2025-01-30,58616.29408812253,0.0,1869.6998756349187,-175.1179642396071,-693.4876784448684,True,181
2025-01-31,23776.698678400036,0.0,2263.206579920633,-420.4314793199514,-843.5950849380597,True,181
2025-02-01,23779.128409174005,0.0,2675.02244804233,-418.8202112117947,-841.3549949413228,True,181
2025-02-02,57664.889520842175,0.0,2492.2246401322795,-90.16652604373402,-710.9067289457763,True,181
2025-02-03,56608.51227211915,0.0,2455.981006005292,-37.63720096849713,-709.6231243008382,True,181
