candidate,month,rmse_improvement_pct,mae_improvement_pct,rmse_delta,mae_delta
07:00,2,-6.1900622588239695,-6.175549465529606,-2.414790717280205,-1.691770904195014
07:00,3,6.419266482219954,4.385876740112571,2.6285803105691556,1.231810366269201
07:00,4,-1.4940272197459192,-0.554799504905934,-0.6530987107404655,-0.1700953119839319
07:00,5,13.206741979541404,19.23125099597164,6.153187569908987,6.648329699755408
07:00,6,-7.569192669683855,-4.307170321130238,-2.9720984308093605,-1.2177709405658241
07:00,7,0.2978391341745379,4.2776350092128546,0.13008555345034267,1.3046170430689266
07:00,8,-0.3159783348074763,6.530209634618145,-0.13605972544819167,1.9962849518898835
07:00,9,1.1718238821893268,2.716573585769344,0.616041592868811,1.0305770343546712
07:00,10,0.0900333546363985,0.5405941662637193,0.050494553770185746,0.20512412407874336
07:00,11,-2.98325572697542,-3.37600662923363,-1.3528212365923338,-1.035100523809529
07:00,12,3.0833509503900403,3.3373461079346356,1.11069530265668,0.7641563261648763
08:00,2,6.083486712931907,12.11117098677531,2.6426113559467197,3.967099033163496
08:00,3,12.683017472000202,12.253588533186432,5.776634532546723,4.077731371666804
08:00,4,4.374678831759715,7.414757680884465,2.1251066228780005,2.683803827686866
08:00,5,19.76500387342651,23.414267423793078,10.143554248789968,9.311499698939823
08:00,6,-3.8840116776301725,-0.13582435515562263,-1.6911240577128979,-0.04504459370765801
08:00,7,3.976856337720247,12.237996695598474,1.9211610455736405,4.321469517029282
08:00,8,3.6276705785843633,13.118459820902139,1.7338642734716743,4.693207288510543
08:00,9,6.777017651595719,9.684864858321962,3.9557589983178616,4.323075121459297
08:00,10,-0.12978268300583018,3.6796658333704935,-0.0811596498045688,1.6827972225181185
08:00,11,3.4512516797933546,3.906583191977586,1.7450380835108419,1.4407232317465528
08:00,12,2.9207310162474354,4.070221860212175,1.1749326210372644,1.1310278509069214
09:00,2,18.92632390780684,25.709248664756668,9.2753559989319,10.074154041212772
09:00,3,20.255925671368548,20.767059140930055,10.388069503781708,8.154246100365167
09:00,4,9.664570028327669,11.673357374143588,5.282611259938015,4.9660804723319885
09:00,5,22.466915622998627,24.95147250794799,12.89301932148399,11.390254056657405
09:00,6,5.457655664823935,8.887228795315206,2.6856017608892984,3.5537013042385865
09:00,7,7.944126196548195,14.495892822678858,4.29627589580695,5.952074875807654
09:00,8,8.035771275269532,9.580486928317855,4.3321976839380625,3.9869800884353808
09:00,9,13.075872677648082,13.51075894662518,8.560175394374234,7.049447546886427
09:00,10,3.076929758970748,6.979433682570512,2.191819498335178,3.8647831895391604
09:00,11,13.768391098024846,14.240091486913474,7.888717880817637,6.2435703539330945
09:00,12,6.752302218240813,3.810477549910063,3.094970112458938,1.2654827644870075
10:00,2,20.42482849917151,25.417646935506212,11.02818016909729,11.19453447173855
10:00,3,30.66242746609207,26.847212882789783,17.560894371804743,11.993707428514135
10:00,4,22.408349237723723,22.411039751080175,13.89386559465801,11.006632044970026
10:00,5,21.408121701714343,21.88482218338613,13.545595526144446,10.953224429398006
10:00,6,22.624920454638808,30.57557366228888,12.638472247131176,14.457131558381832
10:00,7,20.01540877569623,22.77921992871693,12.300836213364988,10.715294291099305
10:00,8,2.9788516989438185,1.9162069653696934,1.81291127491712,0.9069257155150154
10:00,9,23.070276223837716,24.590184753868094,16.95185784775505,14.889871896225593
10:00,10,25.408394009857037,24.45039275455806,20.906258606832935,16.08307898801636
10:00,11,19.282751445419557,18.185854278714352,12.472870393703673,9.23437100559942
10:00,12,21.53956760659952,16.361532829068093,11.372704760655218,6.407474194097965
11:00,2,35.79031979901686,38.60568822635333,21.74318485639612,19.39147059416892
11:00,3,46.02213921357187,44.00592373920457,28.696305846924588,20.985120705110678
11:00,4,30.839330789384178,26.79251947169582,21.60680053517528,14.364615515525536
11:00,5,20.571398991830492,15.80772815309781,14.120885887331262,8.622449403274423
11:00,6,26.611571583194504,30.236346733348807,15.741536199309813,15.089632439094267
11:00,7,23.043845216864955,19.94265188125649,15.12840561441267,9.756083612251139
11:00,8,18.433455041692458,18.191863644595195,11.980811660047998,9.138205312150305
11:00,9,33.41915296977472,34.29530283738181,27.568976924393624,23.261506111812984
11:00,10,52.552136781264714,50.01954345479567,51.1172292626189,39.47966002714863
11:00,11,44.83585726199767,40.056125775506516,32.5093444490685,23.005945654784327
11:00,12,40.83312698217839,37.02512096929249,25.043189481291606,17.78961971712745
13:00,2,30.3856196700838,33.34507416947374,4.502563065779839,3.251640739501961
13:00,3,28.060611764424724,27.989514985294473,5.31304013817134,3.782136362370135
13:00,4,10.721261331518283,15.050603923647232,2.0445402073855092,2.1553481403343415
13:00,5,9.081990811223783,6.548586435691672,1.7467476292767365,0.8742067360279879
13:00,6,19.02245257792209,19.21459221735177,3.779606925710347,2.82263508278521
13:00,7,16.50631622170723,13.311811685967323,3.5671336157308353,2.0938044969119716
13:00,8,15.861842265123105,15.951008208699625,3.052926259052164,2.3860212376220513
13:00,9,18.776333542503654,18.78258078083975,3.1750214620224018,2.33299888398391
13:00,10,22.633481949190593,15.429287742046638,3.541914056537708,1.4702858127736942
13:00,11,6.8348231374541495,3.763883099442944,0.7315806115683188,0.25786479376450444
13:00,12,29.001218969026876,29.681118786958894,3.0563869104823533,1.895019178143464
14:00,2,37.3979040844452,32.54036913634357,4.882663975071637,2.616922101800812
14:00,3,35.91752172931114,33.3763311394282,6.178139986069567,3.85697420975154
14:00,4,16.536965144980808,23.069179690419915,3.1238578992749186,3.222782633811722
14:00,5,19.475136497581722,12.132660035419107,3.550610353036415,1.522382894364645
14:00,6,23.612574713816137,24.251429638955756,4.652176989389721,3.5317335763210327
14:00,7,22.353694829079295,19.24360809196255,4.919678132138735,3.114292393505453
14:00,8,14.111360175856591,13.501625867723032,2.588664246420434,1.9222776140104365
14:00,9,19.967013304393234,19.843493983944438,3.318371744255062,2.311073133169071
14:00,10,34.643825999266866,31.936054383187685,5.077769619215648,2.823475668076129
14:00,11,28.324866003750937,28.826281012194766,2.619347738967531,1.6338062263393338
14:00,12,22.387181330505456,20.327905670335188,1.9866945677722363,1.0154936152169913
15:00,2,35.97196462030955,34.60944032499813,3.22630630520982,1.8021163731731544
15:00,3,33.152150522441815,28.24483131118353,4.412146883215549,2.3408360523298226
15:00,4,32.52072768205145,33.48568707919279,5.66561816323313,4.192342477183008
15:00,5,19.58978095471614,11.759752058431816,3.1485205848777724,1.293246235246695
15:00,6,18.984817371087903,19.499456406139704,3.3002155392764454,2.5089689842825784
15:00,7,19.394679151374937,15.63443911094079,4.036501918917871,2.3801754945606035
15:00,8,11.527873511978303,9.082886404125745,1.8586961067808385,1.114107350934864
15:00,9,12.093324436687258,8.118999375385705,1.704790938532815,0.7685363769098199
15:00,10,26.584569582066887,24.447910286932238,3.0705631169819796,1.6108199697740542
15:00,11,25.78182009017095,26.21184125650029,1.6833439753256112,0.956319369362471
15:00,12,39.40898946865534,37.11051536159208,2.3080431486474917,1.009517615406588
16:00,2,27.734890546329872,34.313683467140265,0.7895984979145259,0.5521927469468384
