seconds,scenario_count,binary_cells,separation_rounds,solver_status,relative_gap,relaxed_objective,direction_feasible_objective,scenario_expected_emergency_cost,scenario_mean_final_soc,max_direction_violation_kwh,method,date
0.22999600000912324,1,0,0,0,1.2379346165878874e-16,58774.97500019919,58774.9750001992,0.0,1200.0,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-02
0.06704030001128558,1,0,0,0,0.0,61543.1454155925,61543.145415592495,0.0,1200.0,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-03
0.22000969998771325,1,0,0,0,1.6156085675817732e-16,22517.699398790654,22517.699398790657,0.0,1200.0,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-04
0.17076300000189804,1,0,0,0,0.0,25822.227110591735,25822.22711059173,0.0,1200.0,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-05
0.23051150000537746,1,0,0,0,0.0,60970.72762667426,60970.727626674256,0.0,1200.0,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-06
0.10284210000827443,1,0,0,0,3.6190570955061413e-16,60313.70123907245,60313.70123907247,0.0,1200.0,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-07
0.16486220000660978,1,0,0,0,2.3919927121269196e-16,60835.95135801032,60835.95135801034,0.0,1200.0,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-08
0.23125090000394266,1,0,0,0,2.443599265475128e-16,59551.15240852476,59551.15240852477,0.0,1200.0,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-09
0.16912619999493472,2,0,0,0,1.4517368692122124e-16,25059.491731899518,25059.49173189952,0.0,1255.2779976109437,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-10
0.9104618999990635,3,0,0,0,1.4251937189323904e-16,25526.20572743553,25526.205727435532,0.0,1562.1627753687392,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-11
1.7242496999970172,4,0,0,0,0.0,60975.2344035301,60975.23440353007,0.0,1476.2331392842893,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-12
1.669577599997865,5,0,0,0,0.0,60476.48794648512,60476.487946485104,0.0,1441.5510431131017,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-13
1.1944729999959236,6,0,0,0,0.00021962892426826482,60256.98582991831,60270.22291414235,91.00061695671292,1516.7290948769098,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-14
1.1312792999960948,7,0,0,0,0.00023427042630649162,59714.91954322049,59728.912260958685,89.0735214143501,1582.6756127816363,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-15
5.06247030000668,8,0,0,0,0.0002934296765377047,60211.46374013607,60229.1367562526,37.40458594895837,1604.5760242725696,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-16
4.10338229998888,9,0,0,0,0.0001795392487281135,24963.69985982357,24968.18262857481,18.814775995050766,1581.0165205821734,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-17
3.021408499989775,10,0,0,0,0.0003484212640799909,24824.70476157098,24833.357231288857,67.5056253048712,1547.2989744504257,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-18
3.8560584999941057,11,0,0,0,0.0006532240858824988,59190.319668033895,59229.00948361155,265.0780509111574,1555.8042674521837,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-19
7.144594800003688,12,0,0,0,0.0005771484338889085,59475.785878174305,59510.132057691924,32.16060696705262,1595.5043460336258,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-20
1.2384098999900743,13,0,0,0,0.0009684642495875134,59324.07768579124,59381.58662952572,86.32470490612188,1595.0421033329123,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-21
4.18535110000812,14,0,0,0,0.0012530959334023824,58768.33024230744,58842.064994665256,141.35800875828704,1606.4054527848332,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-22
3.8281161999912,15,0,0,0,0.0004172220263659904,58993.735228429265,59018.35898775893,44.81327203117671,1643.6550835725745,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-23
3.225782999987132,16,0,0,0,0.0024901942383319855,23913.558582366208,23973.256647944974,260.53107748532557,1584.0061270490178,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-24
4.587730099985492,17,0,0,0,0.0020814360916371305,23764.291892491867,23813.85891792479,277.76280572404727,1573.001466924769,2.4868995751603507e-14,fixed_direction_LP_with_global_relaxation_bound,2025-01-25
7.278633699999773,18,0,0,0,0.0017470652087572059,57868.86483664914,57970.14245568016,288.93656743849556,1674.7328630311717,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-26
6.177442899992457,19,0,0,0,0.0016812162013460227,58123.41406174866,58221.29664893823,298.185630194736,1652.1438804872214,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-27
2.055672599992249,20,0,0,0,0.0017405400967882851,56952.96213816185,57052.263891076815,294.98232195817866,1642.2883021162038,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-28
10.086971900003846,21,0,0,0,0.0017823314025932982,58268.15607505601,58372.19467065581,278.43988932530885,1609.4689642557435,1.1368683772161603e-12,fixed_direction_LP_with_global_relaxation_bound,2025-01-29
7.778065899998182,21,0,0,0,0.001694585169576873,56757.98179494221,56854.32629310479,301.0508664641087,1586.5499958547198,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-30
3.908505699990201,21,0,0,0,0.0014035485730951632,22084.08477868094,22115.124430018514,342.1999030693144,1573.7383255291102,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-01-31
6.939080600001034,21,0,0,0,0.0014494064401483794,22182.232429147083,22214.430167295788,349.8060000513401,1545.0504933839516,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-02-01
9.94863090000581,21,0,0,0,0.0020147121025616225,56089.30330378208,56202.53523170805,269.17316401840316,1613.7185977916358,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-02-02
4.363999299996067,21,0,0,0,0.0020418751537517564,55018.17014677722,55130.740235471974,277.52431447782493,1609.0299452727902,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-02-03
6.422448199999053,21,0,0,0,0.002001582843973583,55519.91927934942,55631.269874719124,275.8895693450927,1642.2689984620818,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-02-04
6.46118650000426,21,0,0,0,0.002035769839717566,54596.353743229694,54707.72608198693,262.16331051365506,1687.1585783687672,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-02-05
5.626986499992199,21,0,0,0,0.0020342482257929583,55676.79706508646,55790.28836019967,345.4917755867416,1674.404368404984,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-02-06
3.6069684000103734,21,0,0,0,0.001446770288775197,21156.592790011207,21187.245867833764,324.6263122464309,1754.4545563552608,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-02-07
3.3049058000033256,21,0,0,0,0.0017419386891424943,19158.100497470128,19191.530967766757,304.85011872788454,1746.6504500218584,1.1368683772161603e-13,fixed_direction_LP_with_global_relaxation_bound,2025-02-08
