horizon_hour,count,mae_kw,rmse_kw,bias_kw,absolute_error_q50_kw,absolute_error_q90_kw,absolute_error_q95_kw,overestimate_ratio,underestimate_ratio,nonzero_pv_mae_kw
1,1460,18.68522253424658,40.946228814465556,1.208839931506855,0.0,66.43444000000021,98.6569249999998,0.24863013698630138,0.24383561643835616,37.37044506849315
2,1460,35.004584315068485,68.14097561357553,0.5075460958904076,0.0,115.26514000000016,154.9585549999996,0.25616438356164384,0.23904109589041095,70.00916863013697
3,1460,49.884370616438346,90.22566548621133,0.13208130136986973,0.0,160.18095000000028,212.98390500000014,0.2404109589041096,0.2547945205479452,99.76874123287669
4,1460,65.81636308219177,123.94699950477423,-2.419233493150694,0.0,215.83312000000018,297.3586400000005,0.23904109589041095,0.2582191780821918,131.63272616438354
5,1460,77.58809232876712,167.18506590928956,-3.3088134246575303,0.0,279.03430000000077,436.4863500000003,0.24726027397260275,0.2465753424657534,155.17618465753424
6,1460,89.92600924657536,209.38447829574716,-4.976447876712328,0.0,343.8012300000006,535.5713750000006,0.24178082191780823,0.2541095890410959,180.09872908093283
7,1459,108.04747559972583,237.64348099519606,-8.98094907470871,0.0,377.8743600000004,591.8906899999998,0.2289239204934887,0.26387936943111723,215.9469409589041
8,1459,136.7331270047978,257.80694064528393,-14.056490541466767,0.0,429.80223999999964,601.4208399999999,0.23166552433173407,0.26456477039067855,273.2789483561644
9,1459,156.76666977381768,277.7262305204112,-13.098139410555179,0.0,496.4953000000002,672.1531699999998,0.2419465387251542,0.25359835503769707,313.31859068493156
10,1459,152.50404509938312,293.677974258516,-22.320047978067173,0.0,467.35180000000025,703.3351200000001,0.2357779300891021,0.26319396847155585,304.7991805479452
11,1459,154.9757984921179,336.58985037020796,-18.601996710075397,0.0,540.1198399999998,812.4765699999997,0.23235092529129542,0.26250856751199453,309.739301369863
12,1459,159.7072184372858,369.29740938008143,-19.739578135709383,0.0,578.5354000000005,942.7864600000005,0.2357779300891021,0.25839616175462643,319.6335139917695
13,1458,189.63121488340187,405.85333873572375,-24.93004945130316,0.0,653.0286199999997,1005.2620900000004,0.24279835390946503,0.2544581618655693,379.26242976680385
14,1458,221.31632057613166,418.52362031915067,-30.359483676268862,0.0,720.2376499999997,980.5121599999983,0.2393689986282579,0.25651577503429357,442.6326411522633
15,1458,242.40710987654322,433.8100816324905,-35.81161248285322,0.0,766.6745999999997,1016.1139299999984,0.2366255144032922,0.2578875171467764,484.81421975308643
16,1458,247.8541827846365,468.372640520077,-51.883321742112486,0.0,805.5936900000006,1076.8403349999994,0.22976680384087791,0.2661179698216735,495.708365569273
17,1458,232.18732037037037,494.9679352190858,-54.81952462277093,0.0,827.6769899999994,1150.9818749999981,0.23045267489711935,0.2661179698216735,464.3746407407407
18,1458,224.3178312757202,520.7145267148819,-39.74248751714677,0.0,860.8144599999995,1288.621129999999,0.2421124828532236,0.252400548696845,449.2519203296703
19,1457,264.6354238160604,562.1878324847758,-47.84454049416611,0.0,978.2844200000005,1370.68816,0.25120109814687713,0.24227865477007549,529.6343578296703
20,1457,303.63173150308853,573.3125551483021,-58.04339217570351,0.0,979.4118200000004,1294.0050000000015,0.2484557309540151,0.24571036376115304,607.6805395604395
21,1457,325.32779025394643,600.0242120414594,-63.87457172271792,0.0,970.9984800000007,1325.15746,0.2477693891557996,0.24639670555936857,651.1024593406593
22,1457,319.66134811256006,609.987721722466,-52.38711997254633,0.0,1026.4927800000003,1402.6087000000002,0.2587508579272478,0.23747426218256693,639.7617914835164
23,1457,329.01702717913525,727.5347822812045,-69.17162484557309,0.0,1113.8982600000008,1734.9282600000001,0.24433768016472204,0.24982841455044613,658.4860008241758
24,1457,374.78739245024025,900.8760969794978,-104.2175910775566,0.0,1325.9096400000003,2135.1901000000016,0.25326012354152366,0.24365133836650651,750.0896027472528
