strategy,q_up,derived,total_cost,retained_cost,down_cost,up_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,initial_soc_kwh,final_soc_kwh
M6,0.5,False,14108322.521373665,13009954.159786306,281765.5175056156,182485.26079333283,634117.5832884135,121537.09176736441,223135.16588366395,795742.5876921586,2148.5983254415123,1436.2441074074075
M6,0.7,True,14110738.685461378,13099303.928926608,227728.45647061538,302296.14201100846,481410.158053148,94299.73573959083,343322.00829530647,678003.1978058012,2148.5983254415123,1538.718804259259
M6,0.8,False,14175055.951950533,13156520.12397229,194125.15573751566,442361.2391592765,382049.43308145343,77458.35992854154,468260.8672832793,601165.9572411225,2148.5983254415123,1627.3262116666704
M6,0.9,False,14422619.459287765,13136791.864613585,171435.5924547092,891135.8943168347,223256.10790263812,46837.40636994079,820848.0396287703,538215.5607412256,2148.5983254415123,1921.5515162962984
M612,0.5,False,13884950.382351818,12845940.271671936,366313.48073309165,111307.68753660511,561388.9424101858,107599.55005107529,131126.77470879848,1089173.6987720754,2148.5983254415123,1487.331530236894
M612,0.7,True,13848036.198924892,12908994.188032744,323553.27091975964,186225.45350326545,429263.2864691218,85542.47845099104,205235.5188994057,1025312.7529445235,2148.5983254415123,1543.9800936760423
M612,0.8,False,13873621.111571401,12943122.485837981,300291.9041911982,285093.72052962065,345113.00101259904,71531.11281178505,289400.424667223,997290.7582398475,2148.5983254415123,1627.3262116666704
M612,0.9,False,14073248.668764766,12886211.763701476,296217.5164948131,676856.8482279498,213962.5403405258,44505.625343304666,586493.6875830938,1011586.2813037725,2148.5983254415123,1921.5515162962984
