date,same_plan_initial_soc_kwh,settlement_cost,ldr_emergency_cost,beta1_emergency_cost,beta0_emergency_cost,ldr_total_cost,beta1_total_cost,beta0_total_cost
2025-02-16,1259.274933770747,52699.67980394012,95.89262006666587,2471.104076332389,95.89262006666587,52795.57242400679,55170.78388027251,52795.57242400679
2025-02-17,1573.119685568755,50603.76157609667,24.138638830076744,1918.2898550524226,24.138638830076744,50627.90021492675,52522.0514311491,50627.90021492675
2025-02-18,1557.1325311243063,48530.856790801015,7.567044988885594,1703.2743368023018,7.567044988885594,48538.4238357899,50234.131127603316,48538.4238357899
2025-02-19,1843.8953170502298,48731.124947798824,331.09998152740434,1192.125948272782,331.09998152740434,49062.22492932623,49923.25089607161,49062.22492932623
2025-02-20,1211.1852750000003,48948.160736365884,353.93152005260185,1185.7155033835788,353.93152005260185,49302.09225641849,50133.876239749465,49302.09225641849
2025-02-21,1640.172311124299,18318.60951466286,0.0,414.704312254999,0.0,18318.60951466286,18733.31382691786,18318.60951466286
2025-02-22,1604.214895495006,18779.058353321037,0.0,196.3548532617558,0.0,18779.058353321037,18975.413206582794,18779.058353321037
2025-02-23,1875.3256969188963,48568.283647410266,42.631947473287404,809.784774906499,42.631947473287404,48610.915594883554,49378.06842231676,48610.915594883554
2025-02-24,1490.0293291329758,47106.69919173059,214.48406303409166,1045.4844615826119,214.48406303409166,47321.183254764685,48152.18365331321,47321.183254764685
2025-02-25,1808.448938275769,46884.25755001648,191.58624913333304,1340.5722039393893,191.58624913333304,47075.843799149814,48224.82975395587,47075.843799149814
2025-02-26,1421.2565672811181,47190.56462931562,0.0,153.0246897325437,0.0,47190.56462931562,47343.58931904816,47190.56462931562
2025-02-27,2108.409012133242,45648.34443973322,68.97582373494666,443.34633933118886,68.97582373494666,45717.320263468166,46091.69077906441,45717.320263468166
2025-02-28,1776.9956307996283,18029.529534299327,0.0,441.42980801323847,0.0,18029.529534299327,18470.959342312566,18029.529534299327
2025-03-01,1701.1964769188976,20315.33268057803,0.0,625.2857938889531,0.0,20315.33268057803,20940.618474466984,20315.33268057803
2025-03-02,1659.7196469765154,51996.9835789021,0.0,507.65393037744377,0.0,51996.9835789021,52504.63750927954,51996.9835789021
2025-03-03,1746.948345198378,51809.104096476054,0.0,1018.3360282670714,0.0,51809.104096476054,52827.44012474312,51809.104096476054
2025-03-04,1548.589768207018,48051.51304642338,0.0,1511.741249373401,0.0,48051.51304642338,49563.25429579678,48051.51304642338
2025-03-05,1623.4313278366565,47424.32957553788,0.0,753.7976813407354,0.0,47424.32957553788,48178.127256878615,47424.32957553788
2025-03-06,1595.779509318116,46170.674586287714,0.0,280.8595153520155,0.0,46170.674586287714,46451.53410163973,46170.674586287714
2025-03-07,1599.9947417255612,18384.51261783792,0.0,217.04775637816027,0.0,18384.51261783792,18601.560374216082,18384.51261783792
2025-03-08,1850.1477577172413,16897.594882474208,0.0,166.21674612952052,0.0,16897.594882474208,17063.81162860373,16897.594882474208
2025-03-09,1935.8792596966746,44697.86253651274,0.0,703.1591522781976,0.0,44697.86253651274,45401.021688790934,44697.86253651274
2025-03-10,1722.545725244071,45237.81026319371,436.84478888181957,1497.2089750936584,436.84478888181957,45674.655052075526,46735.019238287365,45674.655052075526
2025-03-11,1706.2725870959134,44322.57501212371,0.0,348.567100800586,0.0,44322.57501212371,44671.142112924295,44322.57501212371
2025-03-12,2024.3082197552242,43706.05883086496,0.0,551.0500502589539,0.0,43706.05883086496,44257.10888112392,43706.05883086496
2025-03-13,1650.8674974662968,45852.09181668183,909.8873160247897,2321.0874898478573,909.8873160247897,46761.97913270662,48173.17930652969,46761.97913270662
2025-03-14,1590.8830672222225,16396.16794294694,0.0,418.77046651246155,0.0,16396.16794294694,16814.938409459402,16396.16794294694
2025-03-15,1888.0687860505698,16326.81606387278,100.82744739831188,730.9859795848922,100.82744739831188,16427.643511271093,17057.802043457672,16427.643511271093
2025-03-16,1262.210997037037,44338.97573021639,0.0,541.950553845976,0.0,44338.97573021639,44880.92628406237,44338.97573021639
2025-03-17,1803.4687000588553,40546.41760477004,0.0,1079.7535314343854,0.0,40546.41760477004,41626.17113620442,40546.41760477004
2025-03-18,2054.148216540368,43956.795606353066,0.0,771.5741147388619,0.0,43956.795606353066,44728.36972109193,43956.795606353066
2025-03-19,1661.3798670959202,41890.838815135474,0.0,392.9490223122999,0.0,41890.838815135474,42283.78783744777,41890.838815135474
2025-03-20,2092.6869106144522,42596.05982667768,1616.226114884936,2937.1998202454324,1616.226114884936,44212.285941562615,45533.259646923114,44212.285941562615
2025-03-21,1972.4725159848165,15472.836025420711,0.0,112.61904141976255,0.0,15472.836025420711,15585.455066840474,15472.836025420711
2025-03-22,1465.7039958653577,16906.09844546612,0.0,0.0,0.0,16906.09844546612,16906.09844546612,16906.09844546612
2025-03-23,2279.2639760505963,42285.108537670574,562.055316171968,1114.1936035896986,562.055316171968,42847.16385384254,43399.302141260276,42847.16385384254
2025-03-24,1672.3243005555553,41200.28419890569,0.0,306.57034274503565,0.0,41200.28419890569,41506.854541650726,41200.28419890569
2025-03-25,1680.834660799622,43436.63473086531,419.13075685825254,1227.5788170026312,419.13075685825254,43855.76548772357,44664.21354786794,43855.76548772357
2025-03-26,1464.9716192592584,39524.655535666556,0.0,249.41149119998974,0.0,39524.655535666556,39774.06702686655,39524.655535666556
2025-03-27,1515.2487635774144,41061.89248351258,0.0,222.58163547949948,0.0,41061.89248351258,41284.47411899208,41061.89248351258
2025-03-28,1604.2794387626166,16138.531854266923,0.0,102.69978541709831,0.0,16138.531854266923,16241.231639684022,16138.531854266923
2025-03-29,1996.6430189289335,15250.01712532801,0.0,549.9575083574817,0.0,15250.01712532801,15799.974633685491,15250.01712532801
2025-03-30,1656.157344461075,39371.15283441476,0.0,2250.396814652156,0.0,39371.15283441476,41621.54964906692,39371.15283441476
2025-03-31,1892.5200215205282,39131.705054630016,0.0,817.7632622769903,0.0,39131.705054630016,39949.468316907005,39131.705054630016
2025-04-01,1948.3675654708418,42191.285785752945,0.0,649.9910841537775,0.0,42191.285785752945,42841.276869906724,42191.285785752945
2025-04-02,1900.0416490856996,41066.484278501346,0.0,721.6656211624961,0.0,41066.484278501346,41788.14989966384,41066.484278501346
2025-04-03,1683.8627465916388,40993.78722425899,0.0,170.21067911283242,0.0,40993.78722425899,41163.99790337182,40993.78722425899
2025-04-04,1783.598621752958,14552.01854729242,0.0,458.36556014179763,0.0,14552.01854729242,15010.384107434218,14552.01854729242
2025-04-05,1763.363457953818,14654.647076077856,0.0,391.00785423321105,0.0,14654.647076077856,15045.654930311066,14654.647076077856
2025-04-06,1702.9911034312408,38916.33950012385,7.716101323369917,254.30703263312463,7.716101323369917,38924.055601447224,39170.646532756975,38924.055601447224
2025-04-07,1575.0572233333332,36570.08246210484,0.0,904.4650890288815,0.0,36570.08246210484,37474.54755113372,36570.08246210484
2025-04-08,1570.5039919788846,39317.479283420806,0.0,1398.6460784687029,0.0,39317.479283420806,40716.125361889506,39317.479283420806
2025-04-09,1495.0395754980684,40766.099787368556,0.0,563.2368368231466,0.0,40766.099787368556,41329.3366241917,40766.099787368556
2025-04-10,1654.5749290758104,39124.986812171155,0.0,1294.2337931724014,0.0,39124.986812171155,40419.22060534356,39124.986812171155
2025-04-11,1859.0597422811313,13959.123461808349,0.0,2330.535758342072,0.0,13959.123461808349,16289.65922015042,13959.123461808349
2025-04-12,1622.737573359223,14816.472096813635,0.0,268.2095988178969,0.0,14816.472096813635,15084.681695631532,14816.472096813635
2025-04-13,2032.72541857013,36321.94816676861,0.0,187.8346564227953,0.0,36321.94816676861,36509.78282319141,36321.94816676861
2025-04-14,1933.3500255688098,36453.771522099705,352.2329163631873,1291.667225731433,352.2329163631873,36806.00443846289,37745.43874783114,36806.00443846289
2025-04-15,1744.6452275925926,35079.67377537138,0.0,563.3335997657482,0.0,35079.67377537138,35643.00737513713,35079.67377537138
2025-04-16,2066.7942476905114,37619.002736731505,0.0,1054.2059558936394,0.0,37619.002736731505,38673.20869262514,37619.002736731505
2025-04-17,1771.370127659182,36790.34865670768,0.0,121.59407502729644,0.0,36790.34865670768,36911.94273173498,36790.34865670768
2025-04-18,1857.5457246885042,13889.204535040219,0.0,562.1863843856623,0.0,13889.204535040219,14451.390919425881,13889.204535040219
2025-04-19,2098.8061465752594,13674.987901693825,0.0,948.6602627665854,0.0,13674.987901693825,14623.64816446041,13674.987901693825
2025-04-20,1813.7065213592175,35655.2007076116,0.0,847.2511619444487,0.0,35655.2007076116,36502.45186955605,35655.2007076116
2025-04-21,1951.4390188094299,36144.89650066729,0.0,2351.9987048394337,0.0,36144.89650066729,38496.89520550672,36144.89650066729
2025-04-22,1605.1016493181428,34958.532296528116,0.0,600.8755576087236,0.0,34958.532296528116,35559.407854136836,34958.532296528116
2025-04-23,1707.8445654738057,34763.180000038,0.0,170.2795736340514,0.0,34763.180000038,34933.45957367205,34763.180000038
2025-04-24,2080.326349919117,34268.946527162676,0.0,701.4990059441452,0.0,34268.946527162676,34970.445533106824,34268.946527162676
2025-04-25,1790.7067741481912,13124.886474773328,0.0,496.9998573575946,0.0,13124.886474773328,13621.886332130922,13124.886474773328
2025-04-26,1501.3456007059008,13388.185976579949,0.0,366.0077471752933,0.0,13388.185976579949,13754.193723755243,13388.185976579949
2025-04-27,1531.91886538189,34003.777209271226,344.0415496605758,1390.2181810094548,0.0,34347.818758931804,35393.99539028068,34003.777209271226
2025-04-28,1632.9939090711684,39735.03626946519,0.0,222.55981650000012,0.0,39735.03626946519,39957.59608596519,39735.03626946519
2025-04-29,1979.5521060639724,34873.72356384217,0.0,338.13058216368137,0.0,34873.72356384217,35211.85414600585,34873.72356384217
2025-04-30,1946.580683631956,32811.1452936173,404.64374005831235,894.0926849434609,404.64374005831235,33215.78903367561,33705.23797856076,33215.78903367561
2025-05-01,1501.278084074074,35087.37360927455,8982.074245496435,9851.156997721286,8982.074245496435,44069.44785477099,44938.53060699584,44069.44785477099
2025-05-02,1210.8405,14928.990695755007,6709.776177483773,7655.332125169224,6452.853802751844,21638.76687323878,22584.32282092423,21381.84449850685
2025-05-03,1200.0,14221.980236310412,7498.504324789832,8151.643410217655,7400.175837875173,21720.484561100246,22373.623646528067,21622.156074185586
2025-05-04,1216.2882212962963,36076.25754240838,7301.504378548959,9883.390018020395,7474.947622764025,43377.76192095734,45959.64756042877,43551.2051651724
2025-05-05,1257.9569999999999,37637.95395166176,5285.1765927654205,7445.575985091453,5418.799454937754,42923.13054442718,45083.52993675321,43056.75340659951
2025-05-06,1230.6944999999998,35215.30637818668,7927.234378097648,8193.34460556981,6133.369446958011,43142.54075628433,43408.65098375649,41348.67582514469
2025-05-07,1200.0,36932.66716945944,5591.919291268931,5591.919291268931,5233.0296343405735,42524.58646072837,42524.58646072837,42165.69680380001
2025-05-08,1353.0849059848097,40540.4631596685,556.4308677666662,1208.7638152074926,556.4308677666662,41096.89402743516,41749.22697487599,41096.89402743516
