date,same_plan_initial_soc_kwh,settlement_cost,ldr_emergency_cost,beta1_emergency_cost,beta0_emergency_cost,ldr_total_cost,beta1_total_cost,beta0_total_cost
2025-05-08,1353.0849059848097,40527.26368187087,556.4308677666662,1208.7638152074926,556.4308677666662,41083.694549637534,41736.027497078365,41083.694549637534
2025-05-09,2690.1396155026614,16339.587207912016,267.3859096913661,353.048481361365,0.0,16606.973117603382,16692.635689273382,16339.587207912016
2025-05-10,3157.1662758424472,16258.168911175506,263.54470849571567,944.263250855055,0.0,16521.71361967122,17202.43216203056,16258.168911175506
2025-05-11,2808.4570364880606,39127.20085125066,233.75537074999926,390.6532212652323,233.75537074999926,39360.956222000656,39517.85407251589,39360.956222000656
2025-05-12,2655.4158850061253,36841.20099776656,0.0,984.7158142588197,0.0,36841.20099776656,37825.91681202538,36841.20099776656
2025-05-13,2877.007940030289,39614.56541954582,0.0,148.3526799666668,0.0,39614.56541954582,39762.918099512484,39614.56541954582
2025-05-14,2953.665423177267,40059.683260824146,0.0,194.51413368024103,0.0,40059.683260824146,40254.19739450439,40059.683260824146
2025-05-15,2867.9762578434693,39558.49745041889,0.0,670.3965958746658,0.0,39558.49745041889,40228.89404629355,39558.49745041889
2025-05-16,3237.740688028646,15832.871214676574,0.0,99.21140016047357,0.0,15832.871214676574,15932.082614837047,15832.871214676574
2025-05-17,2351.9725179507545,16374.446583428537,0.0,247.4223344378558,0.0,16374.446583428537,16621.86891786639,16374.446583428537
2025-05-18,2671.6634693886313,39934.638304393615,0.0,37.46569473333332,0.0,39934.638304393615,39972.10399912695,39934.638304393615
2025-05-19,2904.5778492085724,37036.4738588029,74.06159996666534,74.06159996666534,74.06159996666534,37110.53545876956,37110.53545876956,37110.53545876956
2025-05-20,2361.4194687693807,38412.448121867215,0.0,228.48383074559217,0.0,38412.448121867215,38640.93195261281,38412.448121867215
2025-05-21,2440.2238341397533,37766.64665125469,0.0,139.37919763948761,0.0,37766.64665125469,37906.025848894176,37766.64665125469
2025-05-22,2523.0600594430393,36756.5892352749,0.0,536.5249367287499,0.0,36756.5892352749,37293.11417200365,36756.5892352749
2025-05-23,2810.297740806433,15988.44012375051,0.0,306.26356323750844,0.0,15988.44012375051,16294.703686988018,15988.44012375051
2025-05-24,3226.1647500008085,15934.130801989862,0.0,285.6414330339042,0.0,15934.130801989862,16219.772235023767,15934.130801989862
2025-05-25,3151.384612976082,36378.14873660897,94.79709709999821,457.59381731206514,84.05219626666586,36472.94583370897,36835.74255392104,36462.20093287564
2025-05-26,2437.0891363620094,38771.84123638709,0.0,139.75961167581346,0.0,38771.84123638709,38911.6008480629,38771.84123638709
