hour,q2_7d_rmse_kw,q3_00_rmse_kw,q2_7d_bias_kw,q3_00_bias_kw
00:00,,,,
01:00,,,,
02:00,,,,
03:00,,,,
04:00,1.5716411028238426,2.600246993077798,-0.3030836363636364,-2.1655929764124076
05:00,67.89716673271577,81.07948459433238,-0.7725822215229707,17.87198782915737
06:00,155.35758861544497,125.80831200578275,0.5397023938223973,-10.554132647891251
07:00,256.9966704009117,222.38387827082846,4.80094796122041,-40.73317753805012
08:00,377.20879878597,367.52776130189477,5.7284632378101055,-24.90187400535415
09:00,499.6249875733979,523.8120508980659,6.406558675506119,-62.68148823971232
10:00,561.1087234520722,652.8026262240321,8.049433839463926,-64.78929671496864
11:00,612.482515149535,736.9424053674624,6.875183639863137,-89.22373727548499
12:00,622.1176639593706,792.0240038690009,6.926306601083563,-115.81929583348055
13:00,524.1814981063164,758.8614932952672,8.340264043341918,-96.15183388624374
14:00,445.57036972191673,706.0461993836731,6.572799907328211,-94.8104690816599
15:00,346.8638853194084,545.2656560379311,6.717874565155407,-78.08206170686529
16:00,225.0971702657485,346.8742314555554,5.213374836106918,-73.08110308371836
17:00,134.82884069799152,200.56654495504162,-0.24942631775004942,-13.560666604534061
18:00,54.418759511535235,106.0790052426893,-0.757074995206133,21.98833064142666
19:00,0.9408243705954618,2.8671926128115808,-0.2174394034536892,-2.600193250325027
20:00,,,,
21:00,,,,
22:00,,,,
23:00,,,,
