seconds,scenario_count,binary_cells,separation_rounds,solver_status,relative_gap,relaxed_objective,direction_feasible_objective,date,scenario_expected_emergency_cost,scenario_mean_final_soc,max_direction_violation_kwh,method
0.0,0,0,0,0,0.0,0.0,0.0,2025-01-01,,,,
0.0129123000006075,1,0,0,0,2.383039776376274e-16,61064.508333532525,61064.50833353254,2025-01-02,0.0,1200.0,0.0,fixed_direction_LP_with_global_relaxation_bound
0.0110802999988663,1,0,0,0,1.1852352878100734e-16,61388.29723528575,61388.29723528576,2025-01-03,0.0,1200.0,0.0,fixed_direction_LP_with_global_relaxation_bound
0.0106515000006766,1,0,0,0,0.0,45611.17885465657,45611.17885465657,2025-01-04,0.0,1200.0,0.0,fixed_direction_LP_with_global_relaxation_bound
0.010835599998245,1,0,0,0,0.0,40410.39381624292,40410.39381624291,2025-01-05,0.0,1200.0,0.0,fixed_direction_LP_with_global_relaxation_bound
0.0105578000002424,1,0,0,0,4.71633006764032e-16,46281.47845782816,46281.478457828176,2025-01-06,0.0,1200.0,0.0,fixed_direction_LP_with_global_relaxation_bound
0.0104237999985343,1,0,0,0,1.4974148052714742e-16,48590.12738867857,48590.12738867858,2025-01-07,0.0,1200.0,0.0,fixed_direction_LP_with_global_relaxation_bound
0.0104404000012436,1,0,0,0,1.4434962429883756e-16,50405.102538545485,50405.10253854549,2025-01-08,0.0,1200.0,0.0,fixed_direction_LP_with_global_relaxation_bound
0.0107533000045805,1,0,0,0,2.452571350259436e-16,59333.30023947122,59333.30023947124,2025-01-09,0.0,1200.0,0.0,fixed_direction_LP_with_global_relaxation_bound
0.0234435000020312,2,0,0,0,1.207947771017111e-16,60234.04147728138,60234.04147728139,2025-01-10,0.0,1276.209773055557,0.0,fixed_direction_LP_with_global_relaxation_bound
0.0345649999944726,3,0,0,0,0.0,56100.44882213765,56100.44882213763,2025-01-11,0.0,4004.583490740741,0.0,fixed_direction_LP_with_global_relaxation_bound
0.0499272999950335,4,0,0,0,1.3208078842257855e-16,55087.17581927786,55087.175819277865,2025-01-12,0.0,5251.574884927248,0.0,fixed_direction_LP_with_global_relaxation_bound
0.0943954000031226,5,0,0,0,0.0,59223.83701738942,59223.8370173894,2025-01-13,0.0,4625.872359952168,0.0,fixed_direction_LP_with_global_relaxation_bound
