plan_date,scheme,mape_pct,mae_kw,rmse_kw,bias_kw,actual_energy_kwh,forecast_energy_kwh
2025-03-20,b0,2.893506364496444,127.49016944444445,174.8290154129437,-15.28432222222224,117648.38173333334,117281.558
2025-03-20,b1,2.8419276278932384,129.5548923611111,157.66520132623742,24.53730486111106,117648.38173333334,118237.27704999999
2025-03-20,b2,10.687678853273267,547.6356717261905,606.9294908644415,-537.2364582341271,117648.38173333334,104754.70673571428
2025-03-20,gk,2.342560518590154,102.594417824949,138.3989380361945,2.464831837464077,117648.38173333334,117707.53769743249
2025-06-21,b0,5.417483493208632,184.6245465277778,240.6206561042908,-11.291045138888867,81408.0648,81137.07971666666
2025-06-21,b1,4.623024416360924,155.71023819444449,205.16049105535188,35.21217986111114,81408.0648,82253.15711666667
2025-06-21,b2,39.749438342147855,1369.590477281746,1511.0824068094296,1369.590477281746,81408.0648,114278.23625476188
2025-06-21,gk,3.909023625350963,134.2705183249509,176.20341974833522,-26.788663995006313,81408.0648,80765.13686411985
2025-09-23,b0,3.1803688843694222,143.4067222222222,187.9115652365,1.4900166666666494,121182.28133333335,121218.04173333333
2025-09-23,b1,3.3010092063487955,148.89045833333336,196.2921399206094,27.54483888888885,121182.28133333335,121843.35746666667
2025-09-23,b2,10.206984966854245,551.8900469246032,622.2625276041608,-547.6519147817461,121182.28133333335,108038.63537857142
2025-09-23,gk,2.2984520366057417,105.70969211090255,137.0855743316521,-2.993737415712622,121182.28133333335,121110.43163535623
2025-12-21,b0,34.819411543865364,1904.496702083333,2105.998528571659,-1904.496702083333,124376.44096666668,78668.52011666667
2025-12-21,b1,3.0318463125056554,148.00942430555557,183.24804885208934,6.0893701388888815,124376.44096666668,124522.58584999999
2025-12-21,b2,9.960787321147661,546.8517899801587,617.5118318125249,-542.3605510912699,124376.44096666668,111359.78774047618
2025-12-21,gk,3.158688032842406,159.4974624795908,198.38125318114874,-81.32278121608606,124376.44096666668,122424.6942174806
