scheme,scope,days,mape_pct,mae_kw,rmse_kw,bias_kw,daily_energy_mae_kwh
b0,formal,334,15.657701863060394,650.02006751497,1128.3912380310528,-5.461799538423142,13414.249427345316
b0,workday,185,3.483902173235836,170.36896960960965,293.48434056959434,-20.020691884384384,1063.8817520720822
b0,sat_class,93,31.58308709519465,1038.625203248208,1494.1428569015868,960.1121492010154,23383.911952867387
b0,sunday,46,35.12813611383027,1902.492670289855,2092.002261346694,-1901.6580144927534,45639.79234782609
b0,holiday,10,3.2029159124246593,148.16364368055554,199.9159856077487,6.542574375000012,940.6924983333054
b1,formal,334,4.132359893630409,176.79572117223884,244.28661499529923,1.949469704341318,1635.3339847804432
b1,workday,185,3.5383573748212354,173.60526626501502,240.47716165271743,0.7967841704204195,1496.2956806306356
b1,sat_class,93,5.508302408404223,177.8203017771804,246.31438504294852,1.253415695937878,1700.0984594982153
b1,sunday,46,3.61186508802809,178.47517105978264,245.16233861491168,2.025200800120777,1622.787526449272
b1,holiday,10,4.719417209974321,218.56506784722222,287.43012960116795,29.399091319444434,3662.9467049999876
b2,formal,334,19.069062290525824,781.2110842648038,955.9245199188664,-1.3563980230016202,18611.864155132596
b2,workday,185,10.554776276080151,560.9252205818318,639.1095586573075,-522.6504865363578,13257.575163642221
b2,sat_class,93,41.43440908372131,1362.3306707223928,1497.025087282776,1360.5301290791945,32652.72309790066
b2,sunday,46,10.000117279156514,543.6477446795204,613.3084014873107,-541.7732996743443,13002.559192184273
b2,holiday,10,10.302775433351611,544.8787704365079,625.9025601623066,-537.0427149801587,12889.02515952381
gk,formal,334,4.019353065206722,168.21817512392423,277.23298133167674,3.2576211891495803,2346.654522910441
gk,workday,185,3.740320212705632,172.16974320968353,309.95088967848466,-0.2016336399396892,2436.5996856905235
gk,sat_class,93,4.8208319087425355,155.6205745818537,217.8508875416599,5.2425419461411025,2084.157030669694
gk,sunday,46,3.466180927089647,171.04049815092642,240.6940859045767,6.0580046936196075,2470.24926336803
gk,holiday,10,4.2722994269323715,199.28916465442344,286.20117708261967,35.91230836671784,2555.35988321294
