date,same_plan_initial_soc_kwh,settlement_cost,ldr_emergency_cost,beta1_emergency_cost,beta0_emergency_cost,ldr_total_cost,beta1_total_cost,beta0_total_cost
2025-03-20,2166.6354972222225,42441.56348852954,1875.3762749236096,4059.8035035358935,1875.3762749236096,44316.93976345315,46501.36699206543,44316.93976345315
2025-03-21,1816.5296074059331,15454.655871146708,540.028318433503,1212.077312842141,540.028318433503,15994.68418958021,16666.73318398885,15994.68418958021
2025-03-22,1386.184275,16866.35777142561,0.0,0.0,0.0,16866.35777142561,16866.35777142561,16866.35777142561
2025-03-23,2115.152796895238,42280.190695731566,1152.9411653083978,1939.28619075985,1152.9411653083978,43433.13186103996,44219.476886491415,43433.13186103996
2025-03-24,1672.3243005555553,40919.10389089132,0.0,561.2311135733335,0.0,40919.10389089132,41480.33500446465,40919.10389089132
2025-03-25,1766.5139881481475,43231.91765408229,1213.0904097908428,2073.237588418563,1213.7714990147483,44445.00806387313,45305.15524250085,44445.68915309704
2025-03-26,1464.9716192592584,39012.258458053635,320.4662784000016,840.9398722580277,320.4662784000016,39332.72473645364,39853.198330311665,39332.72473645364
2025-03-27,1488.3987020370375,40965.78956458155,0.0,735.4619182102426,0.0,40965.78956458155,41701.25148279179,40965.78956458155
2025-03-28,1450.422455991615,16095.410183015789,0.0,403.68759545729364,0.0,16095.410183015789,16499.097778473082,16095.410183015789
2025-03-29,1755.3259115984001,15000.324319366358,1188.5271077486657,1827.3628108335317,1188.5271077486657,16188.851427115023,16827.68713019989,16188.851427115023
2025-03-30,1601.4489900000003,39286.58937835523,0.0,2308.4790250521246,0.0,39286.58937835523,41595.06840340736,39286.58937835523
2025-03-31,1714.8106003801026,38713.94446499653,492.39750647762423,2218.4870253972513,492.39750647762423,39206.341971474154,40932.43149039378,39206.341971474154
2025-04-01,1733.7409275925925,42120.32569640227,29.241986024361076,1018.3364600075851,29.241986024361076,42149.567682426634,43138.66215640986,42149.567682426634
2025-04-02,1725.7540698148146,40978.6800106007,408.45545524954935,1108.7116691393678,408.45545524954935,41387.135465850246,42087.39167974007,41387.135465850246
2025-04-03,1601.3153561111112,40796.86764869362,0.0,776.6363631133008,0.0,40796.86764869362,41573.504011806916,40796.86764869362
2025-04-04,1591.3589850742765,14556.581791715014,0.0,1070.3302893485766,0.0,14556.581791715014,15626.91208106359,14556.581791715014
2025-04-05,1573.1788431784767,14436.985391734557,648.6553165818679,2197.2313661002704,648.6553165818679,15085.640708316425,16634.216757834827,15085.640708316425
