month,scheme,days,mape_pct,mae_yuan_per_kwh,rmse_yuan_per_kwh,bias_yuan_per_kwh
2,c0,28,14.300682820190472,0.0958047971466274,0.13952738919312063,0.06727973056411041
2,b0,28,12.395488793570232,0.08252921626984126,0.12261163766329927,0.00339136904761905
2,b1,28,7.0738361998223835,0.048086681547619047,0.07060153724255518,0.023337872023809526
2,b2,28,11.976900860156181,0.0790702310090703,0.10524951706994398,0.01371468962585034
2,gk,28,7.193619903671804,0.048725142086046454,0.07810578303047332,0.02695369773907456
2,gk_wd,28,11.557907850504366,0.07631080156223007,0.10788548445228292,0.02651374289012531
3,c0,31,17.301348651715898,0.09534056824848829,0.14092376621049107,0.07590505239436456
3,b0,31,14.239894669050312,0.08403716397849462,0.12545906434258486,-0.00463568548387097
3,b1,31,7.334990804003047,0.042191173835125446,0.05465049692835491,0.010583960573476702
3,b2,31,13.82753242582738,0.07934705581157193,0.1036351122802022,0.006775076804915516
3,gk,31,6.283983462541953,0.03544805662284196,0.04631750853569221,0.015794774491880506
3,gk_wd,31,10.732722397209836,0.06271012128308942,0.08587563906633128,0.007928895837384684
4,c0,30,20.86728227052809,0.09426118208245761,0.14213694752279288,0.07563132870723051
4,b0,30,15.850254176945969,0.08435652777777779,0.12349070755264079,0.0010518055555555558
4,b1,30,8.426711759827745,0.04241099537037037,0.05473960841261716,0.005695347222222222
4,b2,30,16.40924267068735,0.08053318121693122,0.10390977803815565,-0.0007090542328042326
4,gk,30,6.995182731998114,0.03379463651159165,0.043867745558289775,0.00850606058188646
4,gk_wd,30,11.343034913055567,0.05561036321690396,0.07729707318330743,0.009339158527444678
5,c0,31,18.889552051852778,0.09396487123342975,0.1359794452627279,0.06525404335614476
5,b0,31,16.157730380909253,0.08568814964157706,0.12309736867691043,0.005283221326164872
5,b1,31,8.426963089799512,0.04530694444444445,0.058629776173219905,-0.003114650537634409
5,b2,31,15.504180961234642,0.08271654505888378,0.10364444977132284,0.004987615207373274
5,gk,31,6.6975337356389035,0.037099306816934546,0.05142530846160215,0.0006189572488578057
5,gk_wd,31,11.6362351929479,0.06458219523690177,0.0865667954445539,-0.004376361278435181
6,c0,30,13.288348970839307,0.08774653772519916,0.10885092128009605,-0.015265888180036484
6,b0,30,13.095541391682344,0.08736949074074074,0.12756001073205883,-0.008147314814814817
6,b1,30,7.944803013662893,0.05213020833333333,0.06943341883029355,-0.014720347222222223
6,b2,30,12.720309689128683,0.08427154100529101,0.10591437324215328,-0.01125347222222222
6,gk,30,6.496534927615871,0.04344536483998678,0.058334961269290775,-0.021856201929940422
6,gk_wd,30,9.991728235103265,0.06847284529563509,0.09619748040773256,-0.02472411480295525
7,c0,31,15.945918481976523,0.12363335887222983,0.15436081734616589,-0.07264157761108951
7,b0,31,12.239762708705452,0.08352302867383513,0.12148865722825918,-0.002345206093189966
7,b1,31,7.745399589351913,0.055449843189964154,0.07869331220474005,-0.014888463261648744
7,b2,31,12.026319263639794,0.08400193292370713,0.10674696824329327,-0.014480773169482847
7,gk,31,6.37038772845072,0.0471283782191779,0.06761999525265643,-0.020842088055170235
7,gk_wd,31,8.700296086708926,0.06327442162580159,0.08972110357666244,-0.020005387931502524
8,c0,31,17.309373922335112,0.10947912427022918,0.14179069073361442,-0.021981895229268685
8,b0,31,15.128735859137299,0.09294717741935483,0.13361678119139758,0.0011267921146953376
8,b1,31,7.652666096605702,0.04672204301075269,0.06034750817417022,0.005995295698924731
8,b2,31,14.57928223258303,0.08636587621607783,0.11106974996076735,0.010883893369175628
8,gk,31,6.176682811624971,0.03675509812024801,0.047529774832290095,0.008541161312780854
8,gk_wd,31,10.522654854457706,0.06460102199950653,0.08730538775965256,0.00447066213886857
9,c0,30,16.202135789167812,0.08223234671113797,0.11870873786949732,0.043080888206230544
9,b0,30,14.411592521974171,0.08407291666666666,0.12280152827722553,0.0017646759259259247
9,b1,30,9.59749304293178,0.05789245370370371,0.08548142439540106,0.01569009259259259
9,b2,30,14.971785692750384,0.08399075066137567,0.1067839291260865,0.004775453042328041
9,gk,30,8.140470240349005,0.04869895252341808,0.07233188154877399,0.02140307843990029
9,gk_wd,30,11.310680148498003,0.0650657636798382,0.09422033892263783,0.020039678485736456
10,c0,31,16.441325873263835,0.08932426269048653,0.1198462650183294,0.038242686277559786
10,b0,31,14.870530840569698,0.08260385304659498,0.1211881078225028,0.005688664874551972
10,b1,31,7.476160782822714,0.04220277777777777,0.05417019103505352,-0.0019806003584229392
10,b2,31,14.552141656246768,0.0821515841013825,0.10320510244693791,-0.00032334549411162136
10,gk,31,7.7230134386524565,0.04400501503706809,0.06283595436373925,-0.003142564562491538
10,gk_wd,31,13.2889852191106,0.07637496536262724,0.09922728653957033,-0.007994452624380987
11,c0,30,14.103889181327084,0.09698341228254671,0.11808782489995649,-0.00400500010058825
11,b0,30,12.827126436743264,0.08432564814814814,0.1253499980609848,-0.007382962962962964
11,b1,30,6.200495698449048,0.03867543981481481,0.04959333281523054,-0.008296921296296299
11,b2,30,12.749675085727244,0.08369379629629632,0.10270566493707292,-0.0019548875661375676
11,gk,30,5.139354957707734,0.032748873615471116,0.04201508672750502,-0.012940980775874583
11,gk_wd,30,8.618444558939467,0.05868804386594676,0.08568133926344917,-0.01568013175035284
12,c0,31,14.763305641058214,0.13207512628393714,0.17170725879525048,-0.09994329348286918
