plan_date,scheme,mape_pct,smape_pct,mae_yuan_per_kwh,rmse_yuan_per_kwh,corr,spearman
2025-03-20,c0,6.165589071037688,6.031556841762702,0.04552224002849002,0.05835627164995372,0.9857492028427813,0.9590999106787965
2025-03-20,b0,5.497428263952876,5.626431326284479,0.036868750000000006,0.048704331172904944,0.987944525727562,0.9541263386981508
2025-03-20,b1,7.088745437869309,6.87226712026931,0.04658055555555555,0.05925878744025133,0.9838655822343495,0.9490745810978396
2025-03-20,b2,7.745422034870747,8.159574746300773,0.056199503968253954,0.06621713306792051,0.9919851084627216,0.9602714414756892
2025-03-20,gk,3.8015487201129963,3.77600763715282,0.02508978185756717,0.03180774859066974,0.9947351772569829,0.9729372366949256
2025-03-20,gk_wd,3.8015487201129963,3.77600763715282,0.02508978185756717,0.03180774859066974,0.9947351772569829,0.9729372366949256
2025-06-21,c0,28.441602396990962,23.091745571235688,0.14549407894736843,0.17463264140668888,0.9436226250150161,0.8713686025429589
2025-06-21,b0,9.367913592478788,8.732003207541629,0.04286597222222223,0.0563968927680319,0.980592679850822,0.9493075796993972
2025-06-21,b1,11.503479941728095,10.482311369936838,0.052743750000000006,0.06669261005622071,0.9760505093019126,0.9282309630695406
2025-06-21,b2,31.29018975708987,24.97747704854826,0.15641031746031744,0.17975900283056606,0.9544930386494246,0.8986132517766954
2025-06-21,gk,8.06406915014804,7.5734123544390615,0.0368736937653076,0.04763444801506688,0.986426513985977,0.9651594830810482
2025-06-21,gk_wd,17.569323985967312,15.038224792615054,0.08452560805690379,0.10199907187974463,0.9767732070169771,0.9342495262649001
2025-09-23,c0,6.061690750898095,6.1284837678567134,0.046299530922431865,0.061048961723810496,0.9844282490690063,0.9290227032576566
2025-09-23,b0,5.6566795724514884,5.557591512098103,0.03886319444444444,0.05034076035160551,0.9879805612551058,0.9497294212467203
2025-09-23,b1,6.3136039712810925,6.181146113959792,0.039982638888888894,0.04912674014446942,0.9889502772466364,0.9364284975081916
2025-09-23,b2,7.752686332849697,8.194437065456484,0.06240456349206348,0.0776730416933423,0.9888291427485356,0.9507774727890979
2025-09-23,gk,4.631782879239391,4.651882782620883,0.03291258306199658,0.04216482226106991,0.9923127209517549,0.959404225569301
2025-09-23,gk_wd,4.631782879239391,4.651882782620883,0.03291258306199658,0.04216482226106991,0.9923127209517549,0.959404225569301
2025-12-21,c0,15.170623888794626,17.090015021047684,0.15140075525737606,0.19232818237907925,0.9538210074236079,0.9567588585717982
2025-12-21,b0,21.38191656343,24.516451474320988,0.19144791666666666,0.21558870451368478,0.970811152225137,0.9632896906299478
2025-12-21,b1,4.159072389965575,4.127693927157235,0.03210902777777777,0.03992075396610418,0.9951893417632812,0.9843571186719824
2025-12-21,b2,6.246047573314571,6.51501480849577,0.05432063492063491,0.06402001254922339,0.9956946921645802,0.987333200037875
2025-12-21,gk,3.980149626281046,4.039369590390473,0.03332097868865416,0.041502817790024266,0.9953837929346332,0.9846746490185111
2025-12-21,gk_wd,16.382193750284785,18.107797888505367,0.1462219886327764,0.16373371689647528,0.9855041294540625,0.9767452141565237
